Epoch [1/24], LR: [0.0008509796720290955], Train Loss: 1.3564, Train Acc: 0.5135, Test Loss: 1.3044, Test Acc: 0.5710
Epoch [2/24], LR: [0.002119175911206604], Train Loss: 0.8704, Train Acc: 0.6918, Test Loss: 1.9984, Test Acc: 0.5228
Epoch [3/24], LR: [0.003966284249193859], Train Loss: 0.6919, Train Acc: 0.7609, Test Loss: 0.8919, Test Acc: 0.7195
Epoch [4/24], LR: [0.006045217889129314], Train Loss: 0.5960, Train Acc: 0.7945, Test Loss: 0.7222, Test Acc: 0.7675
Epoch [5/24], LR: [0.007965328159717826], Train Loss: 0.5131, Train Acc: 0.8235, Test Loss: 0.6337, Test Acc: 0.7867
Epoch [6/24], LR: [0.009365810602588684], Train Loss: 0.4587, Train Acc: 0.8412, Test Loss: 0.7615, Test Acc: 0.7668
Epoch [7/24], LR: [0.009983503087421717], Train Loss: 0.3901, Train Acc: 0.8659, Test Loss: 0.8743, Test Acc: 0.7315
Epoch [8/24], LR: [0.009942723378531746], Train Loss: 0.3442, Train Acc: 0.8807, Test Loss: 0.5331, Test Acc: 0.8252
Epoch [9/24], LR: [0.009716258072067791], Train Loss: 0.2944, Train Acc: 0.8976, Test Loss: 0.5042, Test Acc: 0.8528
Epoch [10/24], LR: [0.009325351440268675], Train Loss: 0.2584, Train Acc: 0.9097, Test Loss: 0.4939, Test Acc: 0.8533
Epoch [11/24], LR: [0.008783633245591914], Train Loss: 0.2200, Train Acc: 0.9224, Test Loss: 0.4061, Test Acc: 0.8700
Epoch [12/24], LR: [0.008109991605331327], Train Loss: 0.1876, Train Acc: 0.9351, Test Loss: 0.4553, Test Acc: 0.8731
Epoch [13/24], LR: [0.007327914418620228], Train Loss: 0.1680, Train Acc: 0.9404, Test Loss: 0.3415, Test Acc: 0.8967
Epoch [14/24], LR: [0.006464670412594938], Train Loss: 0.1330, Train Acc: 0.9537, Test Loss: 0.3737, Test Acc: 0.8912
Epoch [15/24], LR: [0.00555035836222595], Train Loss: 0.1133, Train Acc: 0.9604, Test Loss: 0.3909, Test Acc: 0.8932
Epoch [16/24], LR: [0.004616857634719733], Train Loss: 0.0878, Train Acc: 0.9696, Test Loss: 0.3412, Test Acc: 0.9047
Epoch [17/24], LR: [0.0036967166499157376], Train Loss: 0.0743, Train Acc: 0.9746, Test Loss: 0.3926, Test Acc: 0.9019
Epoch [18/24], LR: [0.002822018012789416], Train Loss: 0.0550, Train Acc: 0.9811, Test Loss: 0.3294, Test Acc: 0.9160
Epoch [19/24], LR: [0.0020232598875470726], Train Loss: 0.0389, Train Acc: 0.9867, Test Loss: 0.3399, Test Acc: 0.9150
Epoch [20/24], LR: [0.0013282926165017847], Train Loss: 0.0271, Train Acc: 0.9919, Test Loss: 0.3391, Test Acc: 0.9204
Epoch [21/24], LR: [0.0007613476606970667], Train Loss: 0.0195, Train Acc: 0.9940, Test Loss: 0.3266, Test Acc: 0.9224
Epoch [22/24], LR: [0.000342192720257464], Train Loss: 0.0154, Train Acc: 0.9954, Test Loss: 0.3290, Test Acc: 0.9226
Epoch [23/24], LR: [8.544249293008557e-05], Train Loss: 0.0149, Train Acc: 0.9957, Test Loss: 0.3289, Test Acc: 0.9226
Epoch [24/24], LR: [4.910263587302262e-08], Train Loss: 0.0141, Train Acc: 0.9960, Test Loss: 0.3293, Test Acc: 0.9220
