----------------------------------------------------------------
Epoch 1/300, Train Loss: 1.804, Train Accuracy: 31.92%, Test Loss: 0.0121, Test Accuracy: 42.88%
Epoch 2/300, Train Loss: 1.520, Train Accuracy: 43.76%, Test Loss: 0.0109, Test Accuracy: 49.62%
Epoch 3/300, Train Loss: 1.388, Train Accuracy: 49.08%, Test Loss: 0.0095, Test Accuracy: 56.00%
Epoch 4/300, Train Loss: 1.297, Train Accuracy: 52.71%, Test Loss: 0.0092, Test Accuracy: 58.82%
Epoch 5/300, Train Loss: 1.224, Train Accuracy: 55.99%, Test Loss: 0.0083, Test Accuracy: 62.31%
Epoch 6/300, Train Loss: 1.164, Train Accuracy: 57.73%, Test Loss: 0.0082, Test Accuracy: 63.23%
Epoch 7/300, Train Loss: 1.121, Train Accuracy: 59.81%, Test Loss: 0.0078, Test Accuracy: 64.85%
Epoch 8/300, Train Loss: 1.082, Train Accuracy: 60.85%, Test Loss: 0.0083, Test Accuracy: 63.32%
Epoch 9/300, Train Loss: 1.049, Train Accuracy: 62.47%, Test Loss: 0.0073, Test Accuracy: 67.08%
Epoch 10/300, Train Loss: 1.025, Train Accuracy: 63.45%, Test Loss: 0.0070, Test Accuracy: 68.67%
Epoch 11/300, Train Loss: 0.997, Train Accuracy: 64.44%, Test Loss: 0.0071, Test Accuracy: 68.75%
Epoch 12/300, Train Loss: 0.975, Train Accuracy: 65.04%, Test Loss: 0.0066, Test Accuracy: 70.64%
Epoch 13/300, Train Loss: 0.949, Train Accuracy: 66.00%, Test Loss: 0.0066, Test Accuracy: 70.52%
Epoch 14/300, Train Loss: 0.932, Train Accuracy: 66.88%, Test Loss: 0.0064, Test Accuracy: 71.19%
Epoch 15/300, Train Loss: 0.923, Train Accuracy: 67.17%, Test Loss: 0.0062, Test Accuracy: 72.92%
Epoch 16/300, Train Loss: 0.905, Train Accuracy: 68.12%, Test Loss: 0.0061, Test Accuracy: 72.83%
Epoch 17/300, Train Loss: 0.890, Train Accuracy: 68.49%, Test Loss: 0.0061, Test Accuracy: 73.00%
Epoch 18/300, Train Loss: 0.878, Train Accuracy: 68.77%, Test Loss: 0.0065, Test Accuracy: 71.58%
Epoch 19/300, Train Loss: 0.860, Train Accuracy: 69.26%, Test Loss: 0.0057, Test Accuracy: 75.07%
Epoch 20/300, Train Loss: 0.850, Train Accuracy: 69.93%, Test Loss: 0.0058, Test Accuracy: 74.34%
Epoch 21/300, Train Loss: 0.835, Train Accuracy: 70.51%, Test Loss: 0.0057, Test Accuracy: 74.95%
Epoch 22/300, Train Loss: 0.829, Train Accuracy: 70.47%, Test Loss: 0.0059, Test Accuracy: 74.01%
Epoch 23/300, Train Loss: 0.816, Train Accuracy: 71.12%, Test Loss: 0.0056, Test Accuracy: 75.55%
Epoch 24/300, Train Loss: 0.811, Train Accuracy: 71.58%, Test Loss: 0.0056, Test Accuracy: 75.58%
Epoch 25/300, Train Loss: 0.799, Train Accuracy: 71.74%, Test Loss: 0.0054, Test Accuracy: 75.78%
Epoch 26/300, Train Loss: 0.788, Train Accuracy: 72.22%, Test Loss: 0.0053, Test Accuracy: 76.99%
Epoch 27/300, Train Loss: 0.786, Train Accuracy: 72.27%, Test Loss: 0.0052, Test Accuracy: 77.12%
Epoch 28/300, Train Loss: 0.777, Train Accuracy: 72.65%, Test Loss: 0.0053, Test Accuracy: 76.63%
Epoch 29/300, Train Loss: 0.770, Train Accuracy: 72.96%, Test Loss: 0.0053, Test Accuracy: 76.92%
Epoch 30/300, Train Loss: 0.763, Train Accuracy: 73.18%, Test Loss: 0.0052, Test Accuracy: 77.14%
Epoch 31/300, Train Loss: 0.754, Train Accuracy: 73.44%, Test Loss: 0.0051, Test Accuracy: 77.87%
Epoch 32/300, Train Loss: 0.747, Train Accuracy: 73.60%, Test Loss: 0.0051, Test Accuracy: 78.11%
Epoch 33/300, Train Loss: 0.741, Train Accuracy: 74.10%, Test Loss: 0.0050, Test Accuracy: 78.41%
Epoch 34/300, Train Loss: 0.734, Train Accuracy: 74.27%, Test Loss: 0.0053, Test Accuracy: 76.99%
Epoch 35/300, Train Loss: 0.731, Train Accuracy: 74.23%, Test Loss: 0.0055, Test Accuracy: 76.42%
Epoch 36/300, Train Loss: 0.723, Train Accuracy: 74.58%, Test Loss: 0.0054, Test Accuracy: 76.89%
Epoch 37/300, Train Loss: 0.723, Train Accuracy: 74.48%, Test Loss: 0.0047, Test Accuracy: 79.04%
Epoch 38/300, Train Loss: 0.718, Train Accuracy: 74.77%, Test Loss: 0.0049, Test Accuracy: 78.63%
Epoch 39/300, Train Loss: 0.710, Train Accuracy: 75.15%, Test Loss: 0.0051, Test Accuracy: 78.02%
Epoch 40/300, Train Loss: 0.706, Train Accuracy: 75.11%, Test Loss: 0.0048, Test Accuracy: 79.12%
Epoch 41/300, Train Loss: 0.702, Train Accuracy: 75.51%, Test Loss: 0.0049, Test Accuracy: 78.87%
